Date,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Administered,Administered_Janssen,Administered_Moderna,Administered_Pfizer
2/27/2022,ME,3187950,151900,1256020,1780030,2703032,142673,1100364,1456688
2/27/2022,NY,43882545,1859300,15446600,26576645,37842993,1416416,13681805,22725229
2/27/2022,NH,3275030,175300,1159040,1940690,2418752,112849,954073,1351748
2/27/2022,AS,92810,600,21500,70710,87609,560,21600,65380
2/27/2022,MT,1879695,104200,773300,1002195,1534641,60151,646201,826223
2/27/2022,CT,8295035,338500,3193960,4762575,7288781,246765,2754707,4286091
2/27/2022,GA,20646995,816500,8041940,11788555,14344545,334320,5582286,8389753
2/27/2022,PW,43990,3800,28500,11690,46478,2347,35862,8191
2/27/2022,MP,121430,3600,25020,92810,105693,1327,14494,89872
2/27/2022,NJ,20933935,943700,7497160,12493075,16550655,564911,6239179,9744150
2/27/2022,FL,45621745,2339100,16858780,26423865,36111992,1456106,13342284,21181055
2/27/2022,TN,12256630,505400,4671240,7079990,9589197,260573,3666450,5607722
2/27/2022,KS,5747915,254400,2197740,3295775,4434631,136574,1682137,2612039
2/27/2022,CO,11862375,486200,4368940,7007235,10316784,337734,3995407,5974459
2/27/2022,SC,9990175,449400,4128140,5412635,7275980,229215,2833075,4211524
2/27/2022,MI,20007430,928900,7882940,11195590,15214752,461265,5959962,8791399
2/27/2022,TX,58822795,2603300,21114440,35105055,44384262,1533135,16305236,26541527
2/27/2022,ID,3212390,155700,1247180,1809510,2365144,86103,893229,1382521
2/27/2022,IN,12613980,593200,4444300,7576480,9199037,302248,3321007,5546260
2/27/2022,IL,26157795,1159300,9074440,15924055,21763139,673431,7704836,13355957
2/27/2022,DE,2219555,96600,858600,1264355,1731962,61359,665551,1002978
2/27/2022,DC,1780205,69900,632280,1078025,1417667,36048,511217,869585
2/27/2022,OR,9522385,460300,3573860,5488225,7440939,272424,2768515,4384654
2/27/2022,IH2,2781195,104700,1239780,1436715,2167950,39769,1018910,1109100
2/27/2022,MO,11060405,422100,4186800,6451505,8651303,248228,3126558,5274196
2/27/2022,MA,16171090,608400,6125200,9437490,14262705,399982,5583060,8279223
2/27/2022,WI,11082945,450400,4133000,6499545,9865119,332440,3770497,5759871
2/27/2022,MD,14996610,600900,5103200,9292510,11511316,360652,4166766,6967373
2/27/2022,WA,16837795,746400,6080400,10010995,13839295,481224,5175337,8171759
2/27/2022,PR,7275590,213900,2555360,4506330,6926398,151444,2662230,4112100
2/27/2022,HI,3317380,124400,1228620,1964360,2804352,70235,1019129,1714696
2/27/2022,MS,5296635,223400,2135480,2937755,3759511,91430,1510889,2154577
2/27/2022,NV,5671810,258100,1950700,3463010,4710745,184014,1619801,2906404
2/27/2022,AK,1443865,83700,559120,801045,1095815,45781,422653,626416
2/27/2022,OH,21958655,970300,8260640,12727715,17225423,618323,6550522,10036484
2/27/2022,VA2,7777820,625900,3783880,3368040,7213179,254670,3718579,3239647
2/27/2022,WV,3849485,160900,1534460,2154125,2634455,66407,1136196,1430161
2/27/2022,DD2,6631010,210000,2160140,4260870,7248048,320024,2401839,4503520
2/27/2022,AL,9252440,394900,4013360,4844180,6097516,174868,2659115,3263059
2/27/2022,US,689815245,30327800,255332620,404154825,552869516,18435938,208268805,325662477
2/27/2022,GU,317160,23200,84780,209180,331132,12822,105340,212810
2/27/2022,RI,2494525,87600,949500,1457425,2130126,64795,810616,1253148
2/27/2022,AZ,14082020,603700,5393520,8084800,11541028,362017,4546063,6608196
2/27/2022,VA,18743805,772600,6607620,11363585,15876527,499399,5615204,9752746
2/27/2022,SD,1762665,88800,704200,969665,1354691,40455,529323,784780
2/27/2022,OK,6978330,321300,2900280,3756750,5718895,151578,2309817,3256090
2/27/2022,NE,3766810,149400,1327580,2289830,3080182,93333,1108946,1871837
2/27/2022,VT,1697750,71200,663680,962870,1346419,52808,524807,767924
2/27/2022,MN,11973970,500600,4240060,7233310,9902085,354162,3593904,5949908
2/27/2022,VI,145460,2800,37840,104820,139908,2263,41795,95850
2/27/2022,MH,86380,12600,56400,17380,55874,2724,46790,6358
2/27/2022,AR,5858220,251000,2444560,3162660,4085187,121696,1745944,2213675
2/27/2022,ND,1312500,52400,500220,759880,1063891,39494,402777,621297
2/27/2022,FM,151100,12800,86940,51360,103551,13076,73786,16664
2/27/2022,WY,934385,48000,410440,475945,730697,28698,319226,382129
2/27/2022,BP2,330430,16100,146720,167610,296771,14157,131450,151132
2/27/2022,NC,20867200,917500,7857260,12092440,16118258,510011,5994593,9612719
2/27/2022,UT,5992350,241300,2046260,3704790,5062215,182083,1771046,3108771
2/27/2022,KY,8394875,378600,3462000,4554275,6315682,233279,2597069,3482945
2/27/2022,LA,7899590,319900,3220620,4359070,6055668,196061,2485446,3371111
2/27/2022,NM,4245645,186200,1655500,2403945,3767444,117415,1530578,2111012
2/27/2022,CA,85834025,3685200,30682620,51466205,71526243,2276370,26731955,42502582
2/27/2022,IA,6236755,288200,2390020,3558535,4923165,176609,1956126,2789926
